Timestamp,user,prompt,response
2023-09-12,1,today my day was not good some guys teased me they tried to torture me i got frigthen,0
2023-09-12,1,today my day was not good some guys teased me they tried to torture me i got frigthen,0
2023-09-12,1,today my day was terrible i didnt feel sick today,1
2023-09-12,1,bad day,1
2023-09-12,1,good day,1
2023-09-12,1,bad day,1
2023-09-12,1,i wana die,1
2023-09-12,1,i wish i was dead,1
2023-09-12,1,i don't wanna attend pracs tomorrow,1
2023-09-12,1,dipshit kashala maala traas deto,1
2023-09-12,1,ded,1
2023-09-12,1,i feel good,1
2023-09-12,1,i had a boring day.,1
2023-09-12,1,death,1
2023-09-12,1,death,1
2023-09-12,1,today my day was not good some guys teased me they tried to torture me i got frigthen,0
2023-09-12,1,today my day was not good some guys teased me they tried to torture me i got frigthen,0
2023-09-12,1,today my day was terrible i didnt feel sick today,1
2023-09-12,1,bad day,1
2023-09-12,1,good day,1
2023-09-12,1,bad day,1
2023-09-12,1,i wana die,1
2023-09-12,1,i wish i was dead,1
2023-09-12,1,i don't wanna attend pracs tomorrow,1
2023-09-12,1,dipshit kashala maala traas deto,1
2023-09-12,1,ded,1
2023-09-12,1,i feel good,1
2023-09-12,1,i had a boring day.,1
2023-09-12,1,death,1
2023-09-12,1,death,1
2023-09-12,today my day was not good some guys teased me they tried to torture me i got frigthen,0
2023-09-12,today my day was not good some guys teased me they tried to torture me i got frigthen,0
2023-09-12,today my day was terrible i didnt feel sick today,1
2023-09-12,bad day,1
2023-09-12,good day,1
2023-09-12,bad day,1
2023-09-12,i wana die,1
2023-09-12,i wish i was dead,1
2023-09-12,i don't wanna attend pracs tomorrow,1
2023-09-12,dipshit kashala maala traas deto,1
2023-09-12,ded,1
2023-09-12,i feel good,1
2023-09-12,i had a boring day.,1
2023-09-12,death,1
2023-09-12,death,1
